lat,lon
21.0519203,105.7817105
21.0780093,105.8124999
21.072694803521,105.802959309842
10.869919,106.735547
21.014174,105.810768
21.030448,105.828554
10.850669,106.72947
20.978411,105.773994
21.022277,105.823407
21.0365104,105.7847569
10.765071,106.673555
10.820007,106.613069
10.775828,106.631085
21.0364466,105.78027
21.0296573,105.8005074
21.0340636,105.8546816
21.0500086,105.7403024
21.0231871,105.794927
20.9682077,105.7696603
21.019435,105.807856
10.810265,106.666861
21.0038346,105.7424146
10.830307,106.670085
10.7616608,106.6708285
10.834001,106.670465
20.9795816,105.8438182
10.831984,106.679716
10.809214,106.693437
20.996631,105.825704
10.788154,106.629152
21.037872,105.813652
10.7929,106.653314
10.956526,106.631636
20.9836286,105.8596834
10.840216,106.678869
21.0873959,105.7555013
10.80051,106.646268
10.790998,106.645546
21.057374,105.887126
10.7361465,106.7052575
10.811545,106.6988978
20.890001,105.8215032
21.035135,105.9411831
10.793519,106.662703
10.812533,106.688081
10.7517388,106.6980461
10.88257,106.648549
10.7678416,106.6827773
10.773274,106.646986
21.0342609,105.7961123
10.808067,106.688528
10.850013,106.652112
10.7380925,106.6280965
10.7552097,106.6287129
10.771829,106.609271
10.876421,106.7455369
10.7429934,106.7216704
10.8132801,106.6849841
21.0593908,105.8184144
21.0161086,105.8146779
10.7357783,106.7472634
10.844574,106.693509
20.988516,105.80906
10.804201,106.62567
10.8794102,106.6287457
21.0136162,105.7909679
10.6746009,106.7230768
10.742487,106.684895
10.7470188,106.7377344
20.988609,105.855455
10.7788749,106.6735501
10.796498,106.690734
10.792779,106.670323
10.8419926,106.6604707
10.7142205040185,106.616039119319
10.871755,106.667527
10.829966,106.702617
10.81699,106.680988
10.824232,106.684108
10.773249,106.632335
21.057943,105.8293778
21.0712745,105.9000041
10.828984,106.617322
10.698992,106.589088
10.857481,106.626047
10.7381244,106.7202767
10.852664,106.656075
20.995217,105.88003
21.0289311,105.7939141
21.032808,105.8032427
20.913016,105.8064853
10.8778583,106.7450962
10.8308606,106.7143867
10.766752,106.674816
10.7357063,106.7382463
21.010484,105.818445
10.8672854,106.5876875
10.759265,106.706874
10.7698339,106.6911556
21.091928,105.783417
21.0493242,105.893386
10.7465474,106.6210205
21.007043,105.810229
21.0188645695107,105.84079962167
10.785104,106.648335
10.762108,106.66492
20.997919,105.827148
10.876948,106.677443
10.761685,106.617494
21.058966,105.764644
10.7696577,106.682521
21.019169,105.816633
10.782743,106.626868
10.838615,106.673122
10.866532,106.639481
20.995935,105.8219564
10.819417,106.678776
10.747055,106.673042
21.015176,105.81703
20.971594,105.7812
21.0037916,105.8374303
10.8157142,106.5957699
10.6993248,106.6410694
20.9169782,105.8738869
10.6758408,106.759516
21.018213,105.824451
10.843807,106.730597
10.821897,106.638988
21.0433477,105.7862668
10.7792025,106.6467293
10.8013468,106.7133885
21.0406213,105.7639267
20.998322,105.867558
20.989259,105.812981
10.837806,106.723628
10.739163,106.671428
10.775504,106.615699
10.827856,106.723728
21.005176,105.847111
10.6719142839515,106.583819319397
11.1138658,106.4723625
10.8205354,106.6076524
10.846526,106.765236
10.72188,106.608407
10.789195,106.595543
10.826109,106.693883
10.7436142,106.6196419
20.980262,105.779429
10.873345,106.725203
10.787519,106.660654
10.726471,106.61161
10.7140893,106.7384901
10.754019,106.628653
10.784827,106.602068
10.781053,106.653699
10.873568,106.655109
10.7582107,106.6127658
21.0329542,105.7935134
10.784296,106.629396
20.9358516,105.8431808
10.707021,106.599482
10.742969,106.655045
10.790148,106.621252
10.739332,106.616167
10.7575395,106.645661
10.85126,106.600329
10.773698,106.664668
10.7860864,106.6415417
10.7936571,106.640272
20.9805109,105.7752236
21.0020685,105.8081994
10.7452618,106.7292687
10.793731,106.649938
