lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
21.0519203,105.7817105,16,12,92,69,35,27,12,131,7,40,22,0,7,16,19,27
21.0780093,105.8124999,2,3,38,7,8,5,3,41,2,22,4,0,7,10,5,16
21.072694803521,105.802959309842,3,6,27,8,10,5,3,16,2,18,6,0,6,5,5,10
10.869919,106.735547,0,16,0,0,0,2,4,2,3,14,4,0,0,20,2,4
21.014174,105.810768,20,18,118,27,7,36,16,166,10,78,24,0,23,23,61,188
21.030448,105.828554,7,15,224,37,12,40,12,288,15,71,18,0,32,77,109,295
10.850669,106.72947,0,15,7,0,0,2,2,3,0,11,2,0,0,9,3,4
20.978411,105.773994,6,8,20,2,1,2,3,18,7,40,5,0,4,8,7,27
21.022277,105.823407,16,15,168,31,4,33,13,199,13,75,21,0,32,61,88,281
21.0365104,105.7847569,20,13,105,78,44,29,11,104,8,55,26,0,12,24,39,64
10.765071,106.673555,20,34,188,21,0,53,27,276,40,90,18,0,7,67,129,59
10.820007,106.613069,0,10,5,6,0,1,2,3,2,31,1,0,0,5,9,12
10.775828,106.631085,2,30,8,10,0,7,14,12,2,62,7,0,6,25,44,15
21.0364466,105.78027,20,11,90,67,40,27,8,104,8,59,24,0,10,19,37,55
21.0296573,105.8005074,18,16,113,54,19,23,17,141,8,64,24,0,15,36,49,133
21.0340636,105.8546816,3,11,422,34,5,104,16,629,24,52,21,0,37,81,120,463
21.0500086,105.7403024,2,5,8,0,0,0,2,17,1,22,8,0,4,11,3,0
21.0231871,105.794927,16,10,106,46,20,21,18,119,8,58,25,0,10,24,38,118
20.9682077,105.7696603,3,10,15,2,1,3,2,16,7,36,4,0,4,8,4,25
21.019435,105.807856,15,14,121,32,6,28,16,164,9,79,26,0,17,22,58,172
10.810265,106.666861,10,12,72,30,3,12,4,59,7,38,4,0,5,31,42,44
21.0038346,105.7424146,1,4,8,28,10,1,1,3,2,12,20,0,2,5,4,0
10.830307,106.670085,5,20,38,14,1,8,4,19,4,22,4,0,2,18,22,28
10.7616608,106.6708285,17,30,133,20,0,47,28,198,37,86,13,0,6,62,121,43
10.834001,106.670465,4,22,33,4,0,3,3,10,5,27,4,0,1,23,25,24
20.9795816,105.8438182,2,10,12,10,0,4,5,10,3,29,15,0,10,6,21,21
10.831984,106.679716,6,20,31,7,0,5,3,21,5,31,4,0,1,17,23,25
10.809214,106.693437,12,23,77,5,0,21,9,77,8,53,6,0,6,51,47,47
20.996631,105.825704,11,10,72,24,7,34,14,71,19,59,20,0,23,12,48,107
10.788154,106.629152,4,28,19,13,0,6,11,16,3,49,9,0,3,18,30,17
21.037872,105.813652,15,14,104,43,9,21,11,134,9,60,18,0,18,61,46,163
10.7929,106.653314,6,23,76,24,0,20,14,70,11,82,11,0,4,62,57,34
10.956526,106.631636,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
20.9836286,105.8596834,4,14,13,6,3,3,2,10,3,37,20,0,8,5,13,31
10.840216,106.678869,2,20,27,4,0,3,3,14,4,24,4,0,0,21,28,26
21.0873959,105.7555013,1,2,3,0,0,4,1,5,0,4,1,0,0,0,0,0
10.80051,106.646268,6,18,39,19,0,8,7,32,5,59,12,0,3,36,30,25
10.790998,106.645546,3,27,44,22,0,15,13,39,6,78,11,0,3,57,46,26
21.057374,105.887126,1,8,13,9,2,4,5,6,2,30,10,0,4,11,12,28
10.7361465,106.7052575,7,10,53,41,0,12,6,85,9,37,3,0,4,8,19,29
10.811545,106.6988978,15,27,59,5,0,14,7,59,7,45,3,0,5,36,41,34
20.890001,105.8215032,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
21.035135,105.9411831,1,4,0,8,0,0,2,0,0,10,4,0,7,13,1,2
10.793519,106.662703,9,21,120,21,2,25,11,110,12,76,8,0,4,83,77,47
10.812533,106.688081,10,22,63,8,0,16,8,59,10,50,4,0,4,45,46,45
10.7517388,106.6980461,13,19,152,22,0,31,14,222,10,61,15,0,17,85,67,52
10.88257,106.648549,0,5,8,0,0,0,1,0,2,10,1,0,2,1,0,3
10.7678416,106.6827773,23,27,334,33,0,63,28,526,35,87,26,0,16,86,149,98
10.773274,106.646986,5,31,23,11,0,12,17,35,8,84,9,0,6,41,77,22
21.0342609,105.7961123,26,10,135,73,42,34,16,163,12,59,27,0,14,34,50,115
10.808067,106.688528,11,21,90,6,1,21,10,82,9,54,5,0,5,55,64,57
10.850013,106.652112,0,13,30,1,0,1,4,8,1,37,1,0,2,31,8,12
10.7380925,106.6280965,0,28,14,5,0,7,11,43,6,46,10,0,2,31,12,11
10.7552097,106.6287129,1,27,10,3,0,7,15,21,3,63,10,0,5,35,26,19
10.771829,106.609271,0,16,1,0,0,2,4,1,1,20,2,0,1,1,2,6
10.876421,106.7455369,0,13,5,4,0,2,5,5,5,17,8,0,0,16,3,5
10.7429934,106.7216704,2,16,32,18,0,4,4,45,6,32,3,0,2,10,16,25
10.8132801,106.6849841,10,25,65,9,0,14,7,59,9,47,4,0,5,45,48,49
21.0593908,105.8184144,2,4,63,27,7,7,7,87,6,19,9,0,7,42,14,36
21.0161086,105.8146779,17,17,130,30,8,39,16,194,12,83,25,0,25,25,75,221
10.7357783,106.7472634,0,9,2,2,0,0,0,0,1,2,0,0,0,0,1,2
10.844574,106.693509,4,6,4,0,0,0,2,9,3,11,1,0,4,4,6,10
20.988516,105.80906,14,9,22,5,7,21,9,48,8,56,17,0,14,14,18,64
10.804201,106.62567,4,14,15,10,0,3,5,10,1,45,6,0,1,9,6,12
10.8794102,106.6287457,2,6,1,0,0,0,3,2,3,12,1,0,2,3,0,1
21.0136162,105.7909679,11,10,76,37,16,9,12,74,5,52,18,0,8,11,29,59
10.6746009,106.7230768,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0
10.742487,106.684895,8,17,35,20,0,9,7,56,12,48,8,0,4,39,26,16
10.7470188,106.7377344,0,9,5,2,0,1,0,0,2,8,1,0,1,2,2,3
20.988609,105.855455,8,17,21,9,5,11,3,19,8,43,22,0,13,7,29,72
10.7788749,106.6735501,18,19,219,17,2,54,22,282,26,89,16,0,5,93,112,59
10.796498,106.690734,20,26,201,26,2,40,10,240,16,67,14,0,3,84,109,89
10.792779,106.670323,11,17,161,16,2,28,10,164,16,72,9,0,5,98,100,59
10.8419926,106.6604707,1,16,33,3,0,1,4,12,1,35,2,0,0,35,17,13
10.7142205040185,106.616039119319,0,9,1,0,0,0,7,0,0,14,3,0,0,9,1,6
10.871755,106.667527,1,4,8,1,0,0,1,0,0,7,0,0,0,6,0,4
10.829966,106.702617,7,19,46,5,0,4,4,24,2,24,3,0,10,8,10,10
10.81699,106.680988,6,26,50,21,3,13,6,48,7,42,6,0,4,35,35,54
10.824232,106.684108,11,22,34,8,0,7,4,32,3,33,5,0,3,26,23,29
10.773249,106.632335,2,28,5,10,0,7,15,14,2,65,8,0,5,27,46,15
21.057943,105.8293778,0,3,72,19,4,8,6,105,4,19,9,0,3,35,14,35
21.0712745,105.9000041,0,5,17,11,2,0,2,13,2,22,6,0,5,9,1,11
10.828984,106.617322,0,9,3,2,0,1,2,3,2,26,1,0,0,4,7,10
10.698992,106.589088,0,5,6,2,0,0,1,1,3,8,1,0,1,7,0,2
10.857481,106.626047,7,18,7,5,0,0,6,9,1,15,2,0,2,7,2,4
10.7381244,106.7202767,3,18,45,23,0,11,4,72,7,36,2,0,5,5,19,30
10.852664,106.656075,0,11,33,1,0,1,3,6,0,31,1,0,1,32,9,12
20.995217,105.88003,3,9,7,1,3,2,3,6,1,17,9,0,2,1,6,22
21.0289311,105.7939141,24,13,130,68,35,30,21,141,8,59,23,0,15,26,42,106
21.032808,105.8032427,17,17,116,52,11,23,16,148,11,64,25,0,17,48,50,136
20.913016,105.8064853,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
10.8778583,106.7450962,0,12,3,0,0,1,5,5,4,18,7,0,0,15,3,5
10.8308606,106.7143867,4,18,58,0,0,3,3,15,0,15,2,0,8,5,3,4
10.766752,106.674816,23,32,207,22,0,57,27,314,41,89,22,0,7,69,123,65
10.7357063,106.7382463,0,11,6,7,0,2,0,4,3,16,1,0,1,0,3,5
21.010484,105.818445,19,19,123,23,7,43,13,163,12,85,24,0,29,24,81,206
10.8672854,106.5876875,0,8,1,0,0,0,2,3,1,6,1,0,0,2,1,4
10.759265,106.706874,10,14,232,32,0,31,14,351,8,47,11,0,16,86,97,68
10.7698339,106.6911556,23,26,436,61,0,77,24,689,22,75,30,0,19,95,180,137
21.091928,105.783417,4,3,12,1,0,5,3,38,0,10,5,0,3,6,1,0
21.0493242,105.893386,0,6,19,16,2,4,5,9,3,32,9,0,4,14,10,26
10.7465474,106.6210205,0,30,15,5,0,8,11,42,8,39,7,0,3,21,12,15
21.007043,105.810229,18,17,91,24,8,32,15,113,12,71,24,0,22,18,60,178
21.0188645695107,105.84079962167,13,11,423,51,15,77,18,575,30,73,33,0,44,74,157,491
10.785104,106.648335,2,28,51,20,0,21,16,58,8,90,9,0,4,65,57,30
10.762108,106.66492,16,34,109,17,0,40,33,159,34,101,8,0,3,61,120,36
20.997919,105.827148,10,10,76,30,10,39,13,78,20,56,21,0,23,15,55,119
10.876948,106.677443,1,3,3,1,0,0,1,1,0,5,0,0,0,1,0,0
10.761685,106.617494,1,24,7,2,0,6,7,12,3,41,6,0,3,11,19,13
21.058966,105.764644,6,2,63,10,0,25,7,151,6,18,8,0,1,11,3,8
10.7696577,106.682521,26,30,350,34,0,66,29,543,35,90,26,0,16,88,151,107
21.019169,105.816633,17,17,134,29,8,41,14,212,10,81,22,0,26,39,83,250
10.782743,106.626868,2,25,12,10,0,7,11,13,2,51,7,0,3,18,32,15
10.838615,106.673122,2,21,33,2,0,3,3,12,5,26,4,0,0,30,28,24
10.866532,106.639481,3,7,12,3,0,0,1,5,3,17,3,0,3,5,0,4
20.995935,105.8219564,8,8,54,16,4,27,16,63,16,59,19,0,20,11,46,93
10.819417,106.678776,8,21,49,23,3,13,4,41,4,39,5,0,2,30,28,51
10.747055,106.673042,10,28,62,13,0,23,19,89,30,75,9,0,2,53,55,24
21.015176,105.81703,18,17,129,28,7,44,16,200,13,89,24,0,26,31,82,230
20.971594,105.7812,8,9,28,4,3,3,2,20,11,45,6,0,4,9,9,31
21.0037916,105.8374303,10,13,161,32,12,42,8,184,24,63,30,0,28,23,99,178
