lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
21.0519203,105.7817105,1,1,2,6,2,4,0,3,0,5,1,0,0,1,1,0
21.0780093,105.8124999,0,0,4,1,8,1,0,3,1,2,0,0,1,0,2,3
21.072694803521,105.802959309842,1,1,2,2,0,0,0,0,0,5,1,0,0,1,0,0
10.869919,106.735547,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0
21.014174,105.810768,1,4,8,2,0,1,0,5,1,3,1,0,1,4,12,19
21.030448,105.828554,0,1,5,4,1,3,2,14,0,3,2,0,1,5,4,24
10.850669,106.72947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.978411,105.773994,1,0,0,0,0,1,0,0,0,3,2,0,0,2,1,1
21.022277,105.823407,3,0,12,1,0,3,0,15,0,3,0,0,2,1,6,15
21.0365104,105.7847569,9,2,13,15,18,8,2,20,0,8,1,0,0,3,1,5
10.765071,106.673555,0,2,13,2,0,5,7,8,3,9,1,0,0,4,7,2
10.820007,106.613069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.775828,106.631085,0,1,0,0,0,0,3,1,0,4,1,0,0,1,9,2
21.0364466,105.78027,11,0,16,12,16,6,0,10,2,8,1,0,2,2,3,8
21.0296573,105.8005074,1,0,4,0,0,0,1,1,1,3,1,0,2,2,1,6
21.0340636,105.8546816,0,0,108,2,0,33,4,177,2,4,2,0,2,17,18,111
21.0500086,105.7403024,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0
21.0231871,105.794927,0,1,1,0,0,0,1,4,0,4,3,0,0,2,0,0
20.9682077,105.7696603,1,1,3,0,0,0,0,2,3,6,0,0,1,1,2,3
21.019435,105.807856,7,2,11,2,0,3,0,12,2,4,2,0,0,0,2,22
10.810265,106.666861,0,3,5,9,3,1,0,11,0,1,0,0,0,1,1,9
21.0038346,105.7424146,0,0,1,5,3,0,0,0,0,2,0,0,1,0,2,0
10.830307,106.670085,0,2,5,2,0,0,0,2,0,3,0,0,0,3,4,3
10.7616608,106.6708285,1,2,19,2,0,3,3,17,3,13,1,0,0,4,9,2
10.834001,106.670465,1,2,6,2,0,0,0,2,0,1,0,0,0,1,4,2
20.9795816,105.8438182,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,1
10.831984,106.679716,1,4,5,0,0,0,0,3,0,0,3,0,0,0,3,4
10.809214,106.693437,1,6,2,0,0,1,1,3,3,2,0,0,0,4,2,2
20.996631,105.825704,0,0,1,0,0,0,0,1,1,3,0,0,1,0,5,7
10.788154,106.629152,0,0,1,0,0,0,0,1,0,5,1,0,0,2,0,0
21.037872,105.813652,1,2,7,0,0,1,1,11,2,7,1,0,2,4,6,15
10.7929,106.653314,0,4,0,1,0,1,0,1,3,8,2,0,0,9,0,2
10.956526,106.631636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
